Distance,Angle,axialRotation,zShift
9.46474,13.6752,63.6648,5.6946
9.73822,46.1446,39.739,2.21692
6.95375,-49.1817,30.5374,3.10684
9.09966,22.6923,10.7722,1.87856
8.35988,-64.9819,63.6629,2.30309
7.92976,-51.9788,48.0011,5.92707
8.47539,-33.6855,48.5419,2.59078
9.65236,-34.6529,32.8646,0.766923
7.88896,-29.5477,1.65976,0.429732
9.90142,-44.4457,30.3413,1.78255
10.8021,87.362,83.4246,0.13972
7.10296,-19.357,91.6036,2.01532
8.48672,-43.5393,56.7508,0.217247
8.07549,35.0273,44.4367,4.52096
7.20437,-11.5135,5.78169,4.50127
9.59011,16.1258,47.8065,4.08118
10.7596,79.9732,69.4738,4.72038
8.16081,29.7183,18.7053,0.356743
7.46654,-63.762,82.2215,1.32167
9.55841,-52.182,54.5031,1.37118
9.809,48.6862,68.993,3.62798
7.63892,-14.3358,4.37056,2.79248
8.27463,-48.6056,38.5177,3.39702
11.3224,32.4473,11.6788,3.01428
7.09276,-40.7968,44.9862,1.70729
9.47798,-32.0247,70.2163,1.92636
9.90984,27.4526,48.3417,3.61389
9.01632,29.9616,34.2116,2.95891
10.365,-2.288,18.3703,1.86897
8.56174,-24.7514,25.2938,5.44293
7.50984,-59.374,43.3899,1.54489
7.99346,-51.2909,41.941,4.00618
9.97575,-33.6068,33.1966,2.59478
9.08971,-53.0082,41.4446,2.65132
8.90758,48.4257,69.6578,0.826053
9.63632,60.1476,26.2276,4.49446
8.01643,-52.9152,36.3629,3.43866
7.56873,-13.88,49.4228,0.854324
9.21299,-91.9426,19.4133,4.32292
11.1914,-52.0744,8.57817,4.78578
6.38714,-32.719,92.6148,0.813858
8.60227,15.1261,67.8195,2.72598
11.2835,42.3108,13.9769,4.03069
9.39938,24.1967,62.0984,3.70914
9.78342,-51.7639,49.7591,3.7581
9.46343,49.5644,72.2181,3.90707
10.3708,-29.0791,35.4605,1.52076
9.09919,-46.8381,52.222,3.22606
10.8572,39.2853,18.3606,4.99843
10.7055,50.2159,41.7746,3.98924
9.87399,-60.1816,40.422,4.1125
9.62178,56.8246,87.3973,3.15259
10.0149,44.4361,67.0899,0.825665
10.1103,55.927,70.2712,0.88846
11.694,77.7798,9.40272,5.65228
9.7096,-62.7457,63.7229,0.222239
11.6551,-29.0714,61.1053,5.43419
11.55,80.3202,87.596,0.303246
9.70602,23.3515,38.5988,2.10092
6.68701,-59.8336,17.5191,5.17368
8.54683,-46.1774,42.2959,3.52054
8.00985,-35.2967,56.9632,5.27365
11.1353,35.0319,13.6698,4.52119
11.7797,43.9657,30.9572,4.71426
9.1161,30.7485,32.0409,2.99895
9.51823,12.9516,33.3989,3.91971
8.78972,-56.2059,32.1535,3.53213
7.74093,-55.4552,45.3493,2.00511
10.5491,20.3126,40.7955,4.93311
9.94905,13.7777,44.0684,3.96174
9.7297,9.33444,9.68916,0.985767
9.15507,-48.6199,92.7332,5.26068
9.9341,15.1967,19.1368,5.34646
10.3694,-76.3277,48.2853,2.3038
9.80433,16.9308,76.4141,1.51344
9.58437,-20.44,16.7031,2.22109
7.50076,-39.3261,53.4139,2.30385
10.5161,40.9597,29.4542,2.73578
9.32475,-22.2278,82.4758,3.69537
10.223,51.9457,11.5346,4.82569
10.5386,27.2504,46.283,0.274009
10.8996,32.8087,74.0967,1.27766
7.77875,10.5692,17.1541,0.440893
8.57029,-50.4085,40.1804,3.30531
6.9546,-42.9823,41.3294,1.85699
6.81034,-53.0308,36.3051,3.95452
8.11842,-67.8224,46.858,1.89773
9.64802,26.8315,92.869,4.49189
9.08287,36.8529,85.301,4.76541
8.1365,29.0335,18.3629,1.08562
9.44481,-36.3111,73.7233,4.10924
8.78808,-28.064,43.6603,1.83327
8.34949,25.5632,80.7303,1.16995
9.7173,66.1396,54.8647,5.06015
7.14945,-39.356,13.4259,5.53985
10.7076,-22.3187,57.3066,0.35206
10.4085,59.6546,69.5709,0.817212
8.38292,-16.8787,44.8945,3.00231
8.22645,-11.1024,23.936,4.26131
7.19193,-34.665,56.9208,1.09542
10.1894,22.2534,81.6395,2.30593
7.81177,26.5121,83.319,4.56376
7.85073,-27.6312,36.1844,2.11615
8.11535,-31.682,8.37994,1.11344
9.49909,16.885,43.0579,3.59806
7.07861,-63.7536,10.4309,2.62645
7.17458,-30.4315,34.5858,1.69265
8.63368,39.689,22.2723,0.439875
6.81727,-50.552,47.8009,1.73279
10.4542,-22.5001,21.2301,2.68168
8.23903,18.8008,59.4004,4.99987
