Sample,OD600
GpA-1,0.231
GpA-2,0.238
GpA-3,0.254
G83I-1,0.228
G83I-2,0.242
G83I-3,0.262
NoTM-1,0.232
NoTM-2,0.237
NoTM-3,0.251
2F12-1,0.255
2F12-2,0.232
2F12-3,0.261
2H11-1,0.233
2H11-2,0.217
2H11-3,0.224
1G2-1,0.241
1G2-2,0.239
1G2-3,0.236
RD2-1,0.23
RD2-2,0.233
RD2-3,0.235
LD23-1,0.234
LD23-2,0.254
LD23-3,0.237
LC4-1,0.26
LC4-2,0.257
LC4-3,0.245
LD21-1,0.246
LD21-2,0.256
LD21-3,0.259
LWT3-1,0.25
LWT3-2,0.266
LWT3-3,0.262
RWT3-1,0.264
RWT3-2,0.244
RWT3-3,0.237
L8-1,0.247
L8-2,0.248
L8-3,0.251
L4-1,0.255
L4-2,0.244
L4-3,0.241
RC8-1,0.235
RC8-2,0.24
RC8-3,0.261
RC11-1,0.242
RC11-2,0.236
RC11-3,0.254
LD9-1,0.254
LD9-2,0.256
LD9-3,0.249
LC9-1,0.241
LC9-2,0.266
LC9-3,0.242
RWT34-1,0.253
RWT34-2,0.228
RWT34-3,0.238
LC2-1,0.267
LC2-2,0.258
LC2-3,0.254
RD17-1,0.235
RD17-2,0.246
RD17-3,0.243
RWT40-1,0.247
RWT40-2,0.242
RWT40-3,0.245
RD52-1,0.257
RD52-2,0.233
RD52-3,0.257
RC1-1,0.239
RC1-2,0.255
RC1-3,0.255
