,>= 0.35_freq,>= 0.35_count,< 0.35_freq,< 0.35_count
G,0.25229357798165136,440,0.16666666666666666,348
A,0.21100917431192662,368,0.1671455938697318,349
T,0.10607798165137615,185,0.11398467432950192,238
L,0.1014908256880734,177,0.11446360153256704,239
V,0.09059633027522936,158,0.07998084291187739,167
S,0.07224770642201835,126,0.07758620689655173,162
F,0.060206422018348624,105,0.09386973180076628,196
I,0.059059633027522936,103,0.11302681992337164,236
Y,0.046444954128440366,81,0.07279693486590039,152
W,0.0005733944954128441,1,0.0004789272030651341,1
